abutilon megapotamicum
acalypha reptans
achillea millefolium
adenium obesum
aeschynanthus lobianus
agapanthus africanus
alcantarea imperialis
allamanda cathartica
alstroemeria x hibrida
anthurium andraeanum
antirrhinum majus
argyranthemum frutescens
begonia semperflorens
bellis perennis
bougainvillea spp
brunfelsia uniflora
calendula officinalis
camellia japonica
catharanthus roseus
celosia cristata
clivia miniata
commelina erecta
cosmos sulphureus
cyclamen persicum
cynoglossum amabile
dahlia pinnata
dianthus caryophyllus
dietes bicolor
echeveria sp
euphorbia milii
euphorbia pulcherrima
fuchsia sp
gardenia jasminoides
gazania rigens
gerbera jamesonii
gomphrena globosa
helianthus annuus
heliconia rostrata
hemerocallis flava
hibiscus rosa sinensis
hippeastrum hybridum
hyacinthus orientalis
hydrangea macrophylla
impatiens hawkeri
impatiens walleriana
ipomoea cairica
iris germanica
ixora macrothyrsa
lagerstroemia indica
lantana camara
lavandula dentata
leucanthemum vulgare
liatris spicata
lilium pumilum
lobularia maritima
magnolia liliflora
murraya paniculata
narcissus spp
nelumbo nucifera
nerium oleander
pachystachys lutea
pelargonium peltatum
phalaenopsis alba
plumbago auriculata
portulaca grandiflora
rhododendron simsii
rosa x hybrida
russelia equisetiformis
saintpaulia ionantha
salvia splendens
schlumbergera sp
strelitzia reginae
thunbergia alata
thunbergia mysorensis
tibouchina mutabilis
viola x wittrockiana
zantedeschia aetiopica
